Teritoriālā vienība;Dzīvojamo telpu veids;Apdzīvoti mājokļi 2011;Apdzīvoti mājokļi 2021;Mājokļos dzīvojošās personas 2011;Mājokļos dzīvojošās personas 2021;Mājokļu pieaugums;Cilvēku pieaugums
Purvciems;Citas dzīvojamās vienības;15;18;33;36;3;3
Rumbula;Pavisam;349;359;1058;870;10;-188
Rumbula;Apdzīvotie tradicionālie mājokļi;347;351;866;701;4;-165
Rumbula;Instucionālie mājokļi (kopējas dzīvojamās telpas);2;1;11;0;-1;-11
Rumbula;Citas dzīvojamās vienības;0;7;181;169;7;-12
Salas;Pavisam;29;26;84;75;-3;-9
Salas;Apdzīvotie tradicionālie mājokļi;28;21;80;65;-7;-15
Salas;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Salas;Citas dzīvojamās vienības;1;0;4;0;-1;-4
Sarkandaugava;Pavisam;8017;8146;17922;16022;129;-1900
Sarkandaugava;Apdzīvotie tradicionālie mājokļi;8010;8038;17839;15577;28;-2262
Sarkandaugava;Instucionālie mājokļi (kopējas dzīvojamās telpas);2;4;55;28;2;-27
Sarkandaugava;Citas dzīvojamās vienības;5;46;28;315;41;287
Skanste;Pavisam;331;858;798;1881;527;1083
Skanste;Apdzīvotie tradicionālie mājokļi;331;849;798;1868;518;1070
Skanste;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Skanste;Citas dzīvojamās vienības;0;9;0;13;9;13
Spilve;Pavisam;37;35;83;79;-2;-4
Spilve;Apdzīvotie tradicionālie mājokļi;37;30;83;66;-7;-17
Spilve;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Spilve;Citas dzīvojamās vienības;0;5;0;13;5;13
Suži;Pavisam;174;187;479;450;13;-29
Suži;Apdzīvotie tradicionālie mājokļi;174;186;479;447;12;-32
Suži;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Suži;Citas dzīvojamās vienības;0;1;0;3;1;3
Šampēteris;Pavisam;2159;2412;5172;4937;253;-235
Šampēteris;Apdzīvotie tradicionālie mājokļi;2158;2403;5117;4859;245;-258
Šampēteris;Instucionālie mājokļi (kopējas dzīvojamās telpas);1;1;55;42;0;-13
Šampēteris;Citas dzīvojamās vienības;0;7;0;32;7;32
Šķirotava;Pavisam;863;908;2497;2109;45;-388
Šķirotava;Apdzīvotie tradicionālie mājokļi;859;876;2125;1982;17;-143
Šķirotava;Instucionālie mājokļi (kopējas dzīvojamās telpas);2;0;367;0;-2;-367
Šķirotava;Citas dzīvojamās vienības;2;21;5;110;19;105
Teika;Pavisam;12305;14015;28881;28549;1710;-332
Teika;Apdzīvotie tradicionālie mājokļi;12252;13871;28623;27948;1619;-675
Teika;Instucionālie mājokļi (kopējas dzīvojamās telpas);45;65;243;399;20;156
Teika;Citas dzīvojamās vienības;8;57;15;151;49;136
Torņakalns;Pavisam;2752;2796;6945;6373;44;-572
Torņakalns;Apdzīvotie tradicionālie mājokļi;2744;2736;6578;5947;-8;-631
Torņakalns;Instucionālie mājokļi (kopējas dzīvojamās telpas);5;2;360;277;-3;-83
Torņakalns;Citas dzīvojamās vienības;3;36;7;97;33;90
Trīsciems;Pavisam;298;397;976;1195;99;219
Trīsciems;Apdzīvotie tradicionālie mājokļi;297;365;973;1066;68;93
Trīsciems;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Trīsciems;Citas dzīvojamās vienības;1;10;3;53;9;50
Vecāķi;Pavisam;488;730;1382;1745;242;363
