"Apdzīvoti mājokļi un tajos dzīvojošās personas reģionos, republikas pilsētās, novados un apkaimēs – Teritoriālā vienība, Dzīvojamo telpu veids, Mērvienība un Laika periods"

"Teritoriālā vienība";"Dzīvojamo telpu veids";"Apdzīvoti mājokļi 2011";"Apdzīvoti mājokļi 2021";"Mājokļos dzīvojošās personas 2011";"Mājokļos dzīvojošās personas 2021"
"..Salas";"Nav norādīts";0;5;0;10
"..Sarkandaugava";"Pavisam";8017;8146;17922;16022
"..Sarkandaugava";"Apdzīvotie tradicionālie mājokļi";8010;8038;17839;15577
"..Sarkandaugava";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;4;55;28
"..Sarkandaugava";"Citas dzīvojamās vienības";5;46;28;315
"..Sarkandaugava";"Nav norādīts";0;58;0;102
"..Skanste";"Pavisam";331;858;798;1881
"..Skanste";"Apdzīvotie tradicionālie mājokļi";331;849;798;1868
"..Skanste";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Skanste";"Citas dzīvojamās vienības";0;9;0;13
"..Skanste";"Nav norādīts";0;0;0;0
"..Spilve";"Pavisam";37;35;83;79
"..Spilve";"Apdzīvotie tradicionālie mājokļi";37;30;83;66
"..Spilve";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Spilve";"Citas dzīvojamās vienības";0;5;0;13
"..Spilve";"Nav norādīts";0;0;0;0
"..Suži";"Pavisam";174;187;479;450
"..Suži";"Apdzīvotie tradicionālie mājokļi";174;186;479;447
"..Suži";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Suži";"Citas dzīvojamās vienības";0;1;0;3
"..Suži";"Nav norādīts";0;0;0;0
"..Šampēteris";"Pavisam";2159;2412;5172;4937
"..Šampēteris";"Apdzīvotie tradicionālie mājokļi";2158;2403;5117;4859
"..Šampēteris";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";1;1;55;42
"..Šampēteris";"Citas dzīvojamās vienības";0;7;0;32
"..Šampēteris";"Nav norādīts";0;1;0;4
"..Šķirotava";"Pavisam";863;908;2497;2109
"..Šķirotava";"Apdzīvotie tradicionālie mājokļi";859;876;2125;1982
"..Šķirotava";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;0;367;0
"..Šķirotava";"Citas dzīvojamās vienības";2;21;5;110
"..Šķirotava";"Nav norādīts";0;11;0;17
"..Teika";"Pavisam";12305;14015;28881;28549
"..Teika";"Apdzīvotie tradicionālie mājokļi";12252;13871;28623;27948
"..Teika";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";45;65;243;399
"..Teika";"Citas dzīvojamās vienības";8;57;15;151
"..Teika";"Nav norādīts";0;22;0;51
"..Torņakalns";"Pavisam";2752;2796;6945;6373
"..Torņakalns";"Apdzīvotie tradicionālie mājokļi";2744;2736;6578;5947
"..Torņakalns";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";5;2;360;277
